chr15	75041185	75041238
chr15	75042070	75042910
chr15	75043529	75043650
chr15	75044105	75044195
chr15	75044464	75044588
chr15	75045524	75045611
chr15	75047131	75047429
chr19	41497210	41497381
chr19	41509905	41510068
chr19	41510201	41510351
chr19	41512809	41512970
chr19	41515123	41515300
chr19	41515898	41516040
chr19	41518202	41518390
chr19	41518578	41518720
chr19	41522550	41522732
chr10	96698439	96698607
chr10	96701614	96701777
chr10	96701948	96702098
chr10	96707535	96707696
chr10	96708864	96709041
chr10	96731860	96732002
chr10	96740939	96741127
chr10	96745789	96745931
chr10	96748603	96748785
chr10	96521656	96521657
chr10	96522462	96522630
chr10	96534814	96534977
chr10	96535123	96535124
chr10	96535146	96535296
chr10	96540255	96540416
chr10	96541577	96541757
chr10	96580252	96580394
chr10	96602593	96602781
chr10	96609673	96609815
chr10	96612489	96612671
chr22	42522500	42522754
chr22	42522852	42522994
chr22	42523448	42523636
chr22	42523804	42523805
chr22	42523841	42523985
chr22	42524175	42524352
chr22	42524785	42524950
chr22	42525034	42525187
chr22	42525739	42525915
chr22	42526613	42526812
chr7	99355755	99355851
chr7	99358441	99358604
chr7	99359663	99359890
chr7	99361477	99361638
chr7	99363999	99364066
chr7	99364753	99364881
chr7	99365976	99366125
chr7	99367390	99367479
chr7	99367744	99367858
chr7	99370212	99370312
chr7	99375650	99375703
chr7	99377614	99377708
chr7	99381633	99381704
chr7	99245927	99246023
chr7	99247695	99247855
chr7	99250175	99250402
chr7	99258121	99258282
chr7	99260438	99260505
chr7	99261590	99261718
chr7	99262788	99262937
chr7	99264223	99264312
chr7	99264574	99264688
chr7	99270202	99270302
chr7	99270538	99270539
chr7	99272155	99272208
chr7	99273737	99273831
chr7	99277448	99277519
chr7	75544472	75544497
chr7	75544978	75545085
chr7	75583306	75583498
chr7	75601730	75601779
chr7	75608768	75608897
chr7	75609656	75609806
chr7	75610365	75610490
chr7	75610834	75610926
chr7	75611541	75611640
chr7	75612837	75612954
chr7	75613055	75613174
chr7	75614094	75614276
chr7	75614375	75614525
chr7	75614896	75615167
chr7	75615240	75615386
chr7	75615476	75615559
chr7	75615654	75615800
